Name                                  ,Distribution                                                                                                                                                                                                            ,Manufacturer                                                       ,Description
To'ak Chocolate                       ,Ecuador                                                                                                                                                                                                                 ,To'ak Chocolate                                                    ,hand made from the rare Nacional variety of cocoa bean
Toblerone                             ,"Switzerland, India, Turkey, Netherlands, Canada, Australia, New Zealand, South Africa, United Kingdom, Ireland, United States, France, Germany, Norway, Italy"                                                         ,Kraft Foods                                                        ,Solid chocolate with chewy almond nougat bits
Toffee Crisp                          ,"United Kingdom, Ireland"                                                                                                                                                                                               ,Nestlé                                                             ,Crisped rice and soft caramel in milk chocolate
Toffifee (also known as Toffifay)     ,"Canada, UK, United States, Germany, Netherlands, Sweden, Denmark, Poland, Czech Republic"                                                                                                                              ,Storck                                                             ,Caramel with nougat and hazelnuts in milk chocolate
Tony's Chocolonely                    ,"United States, Netherlands"                                                                                                                                                                                            ,Tony's Chocolonely                                                 ,Milk and dark chocolate with various added flavors
Top Deck                              ,"South Africa, Australia"                                                                                                                                                                                               ,Cadbury                                                            ,White chocolate peaks layered on top of a milk chocolate base
Topic                                 ,"Poland, United Kingdom, Ireland"                                                                                                                                                                                       ,Masterfoods Polska                                                 ,"Hazelnuts, nougat and caramel in milk chocolate"
TopValu                               ,"Hong Kong, Japan, Malaysia"                                                                                                                                                                                            ,Æon                                                                ,
Torino                                ,Switzerland                                                                                                                                                                                                             ,Chocolats Camille Bloch SA                                         ,Chocolate bar filled with almond-hazelnut praline
Túró Rudi                             ,Hungary                                                                                                                                                                                                                 ,Túró Rudi                                                          ,"Cream cheese, chocolate"
Turtles                               ,"Canada, United States"                                                                                                                                                                                                 ,"Nestle, US distribution by DeMet's Candy Company"                 ,"Chocolate, caramel, pecan, and cashew clusters"
Twin Bing                             ,United States                                                                                                                                                                                                           ,Palmer Candy Co.                                                   ,Cherry cream center with chocolate/peanut coating
Twirl                                 ,"New Zealand, Australia, United States, Ireland, United Kingdom"                                                                                                                                                        ,Cadbury                                                            ,Long flakes of milk chocolate covered in a chocolate coating
Twix                                  ,"United States, Worldwide"                                                                                                                                                                                              ,Mars                                                               ,Cookie bar with two fingers of shortcake biscuit base topped with caramel and covered in chocolate
U-No Bar                              ,United States                                                                                                                                                                                                           ,Annabelle Candy Company                                            ,"Milk chocolate truffle-like center, covered with milk chocolate and ground almonds"
Vice Versas                           ,United Kingdom                                                                                                                                                                                                          ,Nestlé                                                             ,"Milk chocolate covered in white sugar coating, and white chocolate cover in chocolate sugar coating"
Violet Crumble                        ,Australia                                                                                                                                                                                                               ,Robern Menz                                                        ,Aerated crunchy honeycomb-like center in milk chocolate
Walnut Crush                          ,United States                                                                                                                                                                                                           ,Fenn                                                               ,white nougat and walnuts covered in dark chocolate
Welch's Fudge                         ,United States                                                                                                                                                                                                           ,James O. Welch Co.                                                 ,Chocolate fudge bar with chocolate coating
Whatchamacallit                       ,United States                                                                                                                                                                                                           ,Hershey[3]                                                         ,Peanut-flavored crisp with caramel in chocolate coating
Whip                                  ,Australia                                                                                                                                                                                                               ,Cadbury                                                            ,Fluffy nougat and caramel in milk chocolate
White Knight                          ,Australia                                                                                                                                                                                                               ,Nestlé                                                             ,Chewy mint nougat in milk chocolate
Whittaker's                           ,New Zealand                                                                                                                                                                                                             ,J.H. Whittaker & Sons                                              ,"Chocolate blocks, toffee milk, k-bar, slabs, mini slabs, chunks, squares, sante"
Willocrisp                            ,Canada                                                                                                                                                                                                                  ,Neilson                                                            ,Crispy peanut butter in a chocolatey coating
Wispa                                 ,"United Kingdom, Ireland"                                                                                                                                                                                               ,Cadbury                                                            ,Smooth velvety chocolate bar
Wonka Bar                             ,"New Zealand, United States, Australia, United Kingdom, South Africa"                                                                                                                                                   ,Nestlé                                                             ,Graham cracker bits in chocolate
Wonka Mud Sludge                      ,Australia                                                                                                                                                                                                               ,Nestlé                                                             ,Fudge center in chocolate
Woodies                               ,Belgium                                                                                                                                                                                                                 ,Cavalier                                                           ,Milk chocolate bar with hazelnut or orange filling and a biscuit
Wunderbar                             ,"Canada, Germany"                                                                                                                                                                                                       ,Cadbury                                                            ,"Creamy peanut butter, light rice crisps and caramel covered with milk chocolate; the Canadian and German equivalent of Cadbury's Starbar"
Yankie Bar                            ,Denmark                                                                                                                                                                                                                 ,Toms International                                                 ,"Caramel, nougat, and milk chocolate bar"
York Bar                              ,"Canada, United States"                                                                                                                                                                                                 ,Mars                                                               ,
York Peppermint Pattie                ,"United States, Worldwide"                                                                                                                                                                                              ,Hershey                                                            ,Mint-flavored filling in compound chocolate; contains polyglycerol polyricinoleate as a substitute for cocoa butter
Yorkie                                ,"United Kingdom, Ireland"                                                                                                                                                                                               ,Nestlé                                                             ,Chunky chocolate bar
Zero Bar                              ,"United States, Canada"                                                                                                                                                                                                 ,Hershey[4]                                                         ,"Caramel, peanut and nougat covered with white chocolate"
